Emotion,Text
anger,"I was even more infuriated to read that their short separation was a ` tragedy "" . "
shame,He could n't take home business associates for dinner because he was embarrassed for them to see you .
fear,""" Dear God , "" he said , beginning to get rattled . "
sad,"As she poured coffee for Jenny and Paul , she felt unbearably sad . "
surprise,"Her astonished eyes were taking in his costume : gold-embroidered satin jacket , knee breeches and jabot of the eighteenth century . "
shame,"You become embarrassed when people compliment you : ` Oh it was nothing really "" . "
anger,That comes after growing Irish annoyance at the continued failure of the British to ensure that the RUC accompanies the UDR on all its operations .
anger,"I coped at the time but now , five years on , I feel guilty and resentful about the whole affair . "
shame,"Ashamed of having frightened me , he looked at me sweetly and began to sing Italian songs to make me forget the incident "" . "
disgust,"He could pretend she was a good housewife , cook and mother to other men who were disgruntled at their wives , brilliant careers . "
fear,Blanche was disquieted but not sure why .
fear,She nearly gasped with dismay at the shock that shivered down into her tummy .
shame,"The mortified referee ordered the game to end but then was persuaded to leave while one of the linesmen took over , a spectator taking the linesman 's place . "
surprise,"Chambers shot him a look of astonishment , then turned to include Nora "
anger,"` I am vexed , John . "
happy,"It was the prospect of finding gold that induced these excited men to make such frantic efforts to open out the barrow "" . "
sad,Her Mum smiled at the woebegone face .
happy,Seb reached Burford in a state of high excitement only to find that Superintending Constable Aplin was in London .
fear,"Apparently the RLD was not aware of the details of the Vanguard accident at that time , but the subsequent publication of the report on the accident should have reinforced their disquiet . "
happy,"For a girl brought up in a Christian Science home there was a certain frightening kind of excitement about medicine , like drink for a teetotaller ; but otherwise she found the work harrowing and repellent . "
fear,Do n't get agitated .
disgust,"He could pretend she was a good housewife , cook and mother to other men who were disgruntled at their wives , brilliant careers . "
shame,"Nobody actually looks at it apart from me , so I 'm not embarrassed about writing that there . "
fear,Many people are deeply concerned about the neglect of crofting land .
surprise,"Ex-hacker Stephen Gold says he remains ` astounded at the arrogance "" of the Law Commission for not drawing on the experience of others . "
fear,"He was , naturally , sometimes nervous in the face of my beauty ; and at other times needlessly pleased with himself . "
fear,Meanwhile the flood of letters of a very different sort from anxious Hong Kong citizens to this and every other newspaper office continues .
happy,Connor 's voice was gleeful .
surprise,"What had once been a largely invisible world of mental hospitals , private suffering , and professional services now appears in local communities as homelessness , strange persons in public , and bewilderment about who is responsible for whom . "
happy,"Suddenly , to her relief , the telephone rang , Joanna picked it up , wrote down the message , and came back to the table , looking elated . "
shame,"It was less that I was too proud , more that I was too embarrassed . "
fear,"Most were more concerned with the courts being ` too lenient "" . "
sad,When he wondered this he felt a deep sadness .
anger,"My father will be angry with me if you leave early ! "" "
fear,"Sonny , alarmed at the deathly pallor of his half-sister 's face , had jumped into the trap and had driven furiously to the village for the doctor . "
surprise,"Herman , startled but pleased , moved in , only to be disconcerted as Erika pushed him away . "
sad,Their findings indicate measurable differences between normal and depressed women .
shame,"Bob became embarrassed at his own effusiveness , and turned back to the screen , tapping out the rhythm with his fingers on the side of his glass . "
surprise,His eyes flared over her astonished face .
surprise,Rebecque could not hide his astonishment .
sad,"` I made the camp , "" grumbled Henry , rather like a sad child . "
sad,"And when I first got an inkling the little was far worse than none , and I became melancholy and miserable . "
surprise,And even as I did I was astounded at myself .
fear,"Since the war the CIA has been very alarmed at some of the left-wing British governments , many of whose politicians it regards as friends of Moscow . "
happy,"Temperamental differences operate once more with this new trio of junior heroes , whose elders , the three lieutenants , regard their pranks with mild amusement . "
disgust,"You arrest somebody , maybe a drunk , the next day he 's feeling a little disgruntled and almost inevitably he 'll make a complaint "
anger,The sheriff had said the most likely explanation was that the father had become exasperated .
happy,"Both Mr Souness and Jim Smith , the Portsmouth manager , emphasised how delighted they were with the overall quality of yesterday 's tie . "
surprise,` Tears of rage and despair have been shed by SNP workers and our voters are stunned .
sad,"Heartbroken , Maria had to return to the convent and remain a nun for the rest of her life . "
shame,Ace 's eyes were full of mocking laughter as they took in the discomfited expression on the journalist 's face .
surprise,Alexei was unable to hide his astonishment at Siban 's subdued tone .
fear,Kendall-Hume turned back to face the dismayed couple .
fear,"Li Shai Tung looked across at him , smiling ; but behind the smile -- beyond it , in some darker , less accessible place -- lay a deep disquiet . "
disgust,It was done on the receivers orders to stop disgruntled workers taking demonstration vehicles from the site .
shame,"` It was written when he was ill , telling the girl how ashamed he was that she was pregnant . "
sad,My poor mother was grief-stricken and all alone .
surprise,I pointed out that I kissed Frankie but she dismissed my puzzlement .
anger,"By this time , Mattie was feeling irked , not by Urquhart but by O'Neill . "
fear,But they are also nervous that the calculations they make in the next two weeks may determine who will win and lose the political battles of the next two years .
sad,But he 'd become depressed about his exams and could n't concentrate on his work .
anger,"After this she ceased to blame herself for the breakdown of their marriage , but instead expressed considerable anger towards her husband . "
fear,In 1986 the local authority became concerned about injuries which D had sustained and they obtained a place of safety order .
anger,I 'm not surprised he 's feeling peeved .
sad,Lives Janet Barron praises the good grief of Ted Walker
shame,"The mortified referee ordered the game to end but then was persuaded to leave while one of the linesmen took over , a spectator taking the linesman 's place . "
sad,And Glenn Close 's stubborn and pain-ridden performance as Sunny makes you sad for her and hate her at the same time .
happy,The army had n't been too pleased about that little episode either .
fear,"He is so anxious about being accepted that he is trying to be extra good and even perfect . "" "
shame,He is also believed to be embarrassed that one person should be earning so much when the recession and heavy unemployment has badly affected Coventry and the surrounding area .
anger,Serena is torn between her sisterly love and her annoyance with Stella 's aggressive insecurity .
surprise,"The next thing he knew he was lying on the floor , half stunned , beans everywhere . "
surprise,The bewilderment of the child Nizan can not be overstated .
happy,"` How pleased your uncle will be , "" said Finn , loitering for hot shaving water . "
surprise,"She looked stunned , almost like a sleepwalker . "
surprise,BANGOR 'S Alex Lightbody must be the most bewildered bowler in the NIBA this season .
disgust,The articles are on public record and the purchaser runs the risk of a disgruntled shareholder seeking to have the sale set aside if its consent was not obtained .
disgust,"` You are all bloody mad , "" screamed the disgruntled player , in a high piping voice . "
surprise,"Taking advantage of Guy 's momentary stupefaction , she wriggled out from under him and leapt off the bed , everything forgotten but the need to escape from something she dared not put a name to . "
anger,"How on earth , when her heart was thumping and her body drowning in a wave of heat , could she stay angry at him ? "
anger,Israel is also miffed by Kohl 's plan to visit the walled Old City of east Jerusalem without Mayor Ehud Olmert .
anger,He is cross at having to come here when his time with Enid is so short .
shame,"They 're a bit embarrassed about us doing their work for them . "" "
fear,I am concerned about my seven-year-old son .
surprise,"Except the O'Neil family in the first row of the circle , who sat in stupefied amazement , hardly believing what they had witnessed . "
disgust,We therefore have a clashing interest of views over whether to feel sympathy or revulsion about Blanche .
sad,His grief-stricken widow destroyed all his cricket clothes and equipment .
disgust,"If so , he would undo her revulsion with tonight 's business . "
anger,"He shows his annoyance with some intimidating facial expression , backed up by a sparse selection of adjectival punctuation invariably using the ` f "" word , which he uses with considerable effect . "
fear,People are becoming more and more concerned about the healthiness of their diet and way of life .
anger,"He turned a livid , stubbled face to the crowd . "
anger,"His teachers were suspicious of his popularity , annoyed by his lack of interest in academic work and infuriated that he could still achieve high marks in examinations . "
surprise,Corbett stopped his horse and turned to the startled Ranulf .
surprise,"A delighted , if somewhat bewildered smile tugging at her own mouth , her eyes alight with laughter , she watched him melt into the crowds . "
anger,Lenin was furious when he learned about it .
shame,They aimed for higher status jobs and felt humiliated when they were unemployed .
fear,"That was still the kind of work that I wanted to do , and if I thought very much a comprehensive schools it was in a spirit of mild disquiet . "
anger,Mr Jones exploded in anger .
happy,"His moist mouth suckled , and when she gazed down at his rapt , contented face she knew that she was lost to him . "
sad,Other people 's sorrows on the whole weigh lightly on our shoulders : a merciful provision .
anger,"The Direktor felt , not for the first time , deeply resentful of the fact that they had any part in choosing the programme . "
surprise,"Michael frowned at him , bewildered . "
happy,"With such obvious delight in food , it 's hard to see how Blanc remains so slim . "
happy,"Much pressure can overtly or unwittingly be put on grown up children , to provide grandchildren for the delight of the grandparents . "
happy,"He laughed shortly , little amusement on his face . "
fear,` It 's actually made me quite nervous about being in London .
sad,"Aside from the fact that Jill is quite capable of carrying her own books , her glumness could easily be due to being a young lesbian forced to suppress it and wishing Jack would take his stupid pick-up lines elsewhere . "
sad,The merchant 's long face was even more mournful and the friar was sure the man had been crying .
shame,"` When Liz came back there was raucous laughter and she felt humiliated . "" "
sad,"June Barraclough 's A Time to Love ( Methuen , 12.95 ) spans both World Wars and paints a vivid picture of the loves and sorrows of the characters in the lives of two women friends . "
surprise,"First of all the crowd was stunned , and then they erupted , giving Allan a marvellous reception on his lap of honour But the night was yet young . "
shame,"One episode ends with the proud man broken , humiliated and in tears . "
disgust,"The New Zealand-born but peripatetic investor was speaking at GPG 's annual meeting in London , where he faced tough questioning from a disgruntled shareholder about accounting practices and future strategy "
shame,"` It 's inconceivable , I agree , "" responded Howard , waving a well-manicured hand , his plump face pink with embarrassment at the directness of Newman . "
shame,"The kids were mortified but I thought it was a real hoot . "" "
shame,"Often she would say something foolish , immediately regret it , then , to cover her embarrassment , say something worse . "
surprise,"Charles was absolutely flabbergasted , but he had n't really got time to analyse his reactions . "
surprise,"When Ramsey came to read the book himself , later in life , he was astonished , and at one point burst out laughing , to discover what irrational expressions he could use . "
fear,"While Grant was wakening the kids , he discovered to his dismay that most of the cubicles held four occupants , sleeping in bunk beds . "
sad,He looked so downcast that even Angalo patted him on the shoulder .
surprise,"Pitching my voice to a tone of mild puzzlement , I called , ` What 's a rattlesnake doing up here ? "" "
surprise,"He woke stupefied , flicking his tongue over his parched lips like a reptile . "
sad,"Goebbels himself had signed her travel papers under pressure from his sympathetic wife Magda , who had mistaken Lais 's hysterical sobs for sorrow at Karl 's death . "
sad,"At their graves their families would unite with their beloved over a memorial meal and a drink , easing their grief in recreating the family intimacy , only transiently ruptured . "
fear,But her symbolic stance emerges at a time when there is considerable disquiet over the imaging of children .
happy,"Salesmen were still tramping the aisles of the carriages , shouting over the excited chatter of the crowd , the squawking of chickens and bleating of goats . "
sad,"She had assumed that because mother had n't wept or shown grief that her father had n't been loved by anyone but herself and her father 's parents , who wept copiously . "
sad,"You must have been heartbroken . "" "
disgust,We therefore have a clashing interest of views over whether to feel sympathy or revulsion about Blanche .
anger,"Lineker became incensed when Taylor went public , not only questioning whether Lineker should remain as captain , but whether his form justified a place in the side -- even though he was maintaining his phenomenal strike rate . "
surprise,A man was astounded to walk into his son 's bedroom and find him sitting playing chess with his dog .
sad,He was so miserable .
fear,I was a little concerned that you put so much emphasis on return to work .
sad,"In it a deeply depressed Spiro , 46 , makes several rambling statements about his money problems . "
disgust,"A disgruntled postman rang up a radio chat show to complain , and found himself spearheading an anti-Florio movement that culminated in 50,000 people marching on the state capitol . "
fear,"That 's why I 'm not frightened of your report . "" "
surprise,"Before she left for London , Cllr Cooper said : ` I am astounded to have been chosen . "
sad,"Accordingly , I wrote to my parents and , having pretended for years that I was relatively happy at school , I now confessed that I was utterly miserable , and begged them to take me away . "
anger,Erika stamped her foot in vexation .
sad,"Very likely he was simply lying on his bed in a state of dejection and , perhaps , of remorse for his massacre of "" the possessions "" which was now generally thought not to have been necessary . "
shame,"Ashamed of having frightened me , he looked at me sweetly and began to sing Italian songs to make me forget the incident "" . "
surprise,She squinted in bewilderment at the ten or so boarders who had formed her little band of helpers .
anger,He also incurred the anger of the apothecaries who were afraid of being put out of business if all their complex mixtures were swept away .
shame,"From time to time he brought them small presents of coffee and sugar , although he was always slightly shy and embarrassed about giving them . "
disgust,"Thomas Coram 's revulsion at the infant corpses in London gutters led him to campaign for a hospital for foundlings , established in 1741 . "
happy,We are pleased to see the guidance state unequivocally that major retail developments are inappropriate in Green Belts .
shame,People are very embarrassed talking about sex .
anger,"There were rumours of anger among the grain farmers , who were being given IOUs instead of cash for their crops . "
fear,"Then she was silent , staring at him with horrified eyes . "
fear,She was not nervous of Martin Bean .
fear,But experts at the Coney Hill Psychiatric Hospital are alarmed .
anger,"How often do parents say in exasperation , ` Oh , you 'll be the death of me "" ? "
fear,"Modigliani was plagued and anxious because of the difficulty of finding models , and when one had been found he waited in a state of tension for fear of being let down . "
sad,"After the coming of the man in the night , Miguel had grown glum and thoughtful . "
surprise,They burst in on the somewhat startled signalman who was puzzled by the dramatic appearance of the two familiar faces .
sad,"The ready availability of a screening questionnaire that mothers at risk can complete under supervision in a few minutes is potentially useful , but only if health workers and others can rise to the needs of depressed mothers . "
fear,Both sisters looked alarmed at the thought of possible further deterioration .
disgust,"In an increasingly health-conscious world , executives from Brazil to Britain have become increasingly fed-up with luncheon excesses . "
fear,Elaine 's voice was concerned but deep inside she hoped he would not decide to go to the party .
sad,He became even more lugubrious .
sad,"For example , mildly depressed and tired old people used to be given amphetamines . "
sad,"` Give over , will yer , "" pleaded the disconsolate convener , slapping jam on his butty . "
disgust,"But they were caught out when accounts assistant Anne Riley , disgruntled at being sacked , told chairman Douglas Bishop of their alleged antics . "
anger,"` You 've got every right to be mad at me , Mike . "
surprise,AN OXFORDSHIRE reader expresses astonishment that so many of the hotels featured in this column border on Fawlty Towers .
disgust,Os Guinness has captured this middle-class revulsion against materialism and affluent decadence in his best-selling book The Dust of Death ( 1973 ) .
disgust,"But equally , it provided a home for some of the darkest forms of distrust of and revulsion from sex and marriage . "
shame,"Vaguely ashamed of her behaviour , she then tried to draw back , but his arms tightened , preventing her , and she gave up all thoughts of resistance . "
fear,Eyewitnesses told of the horror as shrapnel rained down on shoppers from two devices placed in cast-litter bins less than ten yards apart .
sad,To his great sorrow he could never recall his mother .
shame,"The kids were mortified but I thought it was a real hoot . "" "
shame,It was only the second occasion ever in which bankers had been summoned and reflected both the high degree of public outrage and government embarrassment over the spate of recent financial scandals .
fear,People in the popular movement had a different kind of disquiet with the leadership of the PLO .
anger,He looks offended when I tell him he is perceived as a man 's man .
disgust,"Zen preferred to think that some alert recruiting officer somewhere , realizing the appalling threat a disgruntled Gilberto would pose outside the law , had bent the rules to let him in . "
surprise,And now she could see the puzzlement on everyone 's face .
surprise,"A stunned Mrs Hanley said as she left court : ` We never wanted anybody to go to prison over this . "" "
happy,"Though relieved , and fiercely delighted that she had apparently stopped him in his tracks , Polly was apprehensive about going back up on deck . "
shame,Milton took pity on his embarrassed friend .
happy,"Then , having shown the plate to various not very excited colleagues , he resumed his holiday . "
happy,Benjamin nodded and stared where an ostler was trying to calm an excited horse .
happy,"I went swimming , and I was so happy I cried into the sea for three-quarters of an hour . "
disgust,"Several times , Gedge had persuaded him to stay with the band when he had become disgruntled and ` warnings "" had not been given because he ostensibly wanted to leave anyway . "
shame,"From time to time he brought them small presents of coffee and sugar , although he was always slightly shy and embarrassed about giving them . "
sad,There are periods when we feel totally inconsolable .
sad,"Brian Davies , also from near Coventry , had entered some immense pumpkins and marrows , but seemed mournful . "
sad,"Thenceforward I was always wanting to take the joys of solitude and of society in their extreme forms , and was alternatively miserable from the lack of company or the presence of uncongenial company . "
fear,Jim could nonetheless tell by his anxious face that something was wrong .
sad,I 'll have the use of a locker at the airport   she trailed off with a despondent sigh .
anger,In recent months a growing number of federal judges and lawyers have voiced their exasperation with America 's approach to drugs .
fear,"When I asked if they could make me an identical one trimmed with black fur and beading instead , they were horrified but they agreed in the end . "" "
happy,"He even telephoned Wexford to tell him about it , his elation subsiding somewhat when he heard the chief inspector had also found this out three hours before . "
sad,"Neither of us could wait to get the round over , we were so cold and miserable . "
anger,"On a recent visit to a day centre , which served both younger disabled and old people , I was told that old people were envious and resentful when computer learning was introduced for the younger disabled people . "
sad,"Sybil 's expression , which had become momentarily sad , softened into a tender smile that was wholly natural . "
sad,"One woman , who already had a job and a busy life of her own , was surprised to find how sad she felt when her children left home in quick succession . "
fear,Nothing happened -- not that she 'd really thought anything would -- although there was a nervous tingle in her fingers .
anger,"BLACKEYES ended , trailing an ever thinner line of puzzled viewers , exasperated critics , and the nagging question , what went wrong ? "
happy,"When Anna left Inspector Aziz , she was much happier . "
shame,By resorting to a money-lender it became more difficult to conceal their embarrassment -- than if they had merely run up bills with retailers .
happy,"Captain McArthur was a musical comedy aficionado , and not pleased when Mrs Kingswood spoke critically of the form . "
sad,Perhaps it was despair that made me believe there was one person in the world who might know that I was in despair .
happy,He seemed happy with this .
anger,"I was mad about her being killed , mad at whoever killed her . "
sad,They are sad for Johnny Bryan because he can never truly be a member of this particular family .
sad,"Heartbroken Tim Godwin weeps as he tells how he had to tell his 23-month-old daughter Sophie : ` Mummy is n't coming back "" . "
anger,"He was exasperated , but not cast down . "
anger,"The reporter , whose English was stilted and hesitant , tried to get an answer from a miffed Atherton who refused saying he had already answered the same question ."
sad,Every day they became more miserable .
surprise,I am startled to find myself addressing you instead .
surprise,He could see Harry 's puzzlement .
anger,The law said nothing about duels between species which were not considered to be human -- although that did not prevent an offended party from seeking recourse .
disgust,"Floy and Snodgrass , unable to look away , were sickened and awed . "
sad,"The session had ended with the seven of them grinning broadly , their earlier mood of despondency cast aside , their sense of unity rebuilt . "
fear,The impact had caused it to buck like a frightened horse .
surprise,"Chambers shot him a look of astonishment , then turned to include Nora "
happy,` I am obviously very pleased about winning but it was also great that my parents were here .
surprise,"David filled her dreams ; the ecstasy of their lovemaking , and the pain and bewilderment of his abrupt departure . "
surprise,Then his startled gaze met the glowing eyes above the white patch of the handkerchief the man was holding at his mouth .
disgust,"She was simultaneously pleased , revolted and delighted . "
sad,But it was the scene of my first heartbreak .
fear,"Rather than match China 's firmness , it can be confidently predicted , the Hong Kong authorities will follow past form , cease muttering about their shock and horror over Tiananmen , and return to bland assurances that the negotiations with Peking about a post-1997 ` Basic Law "" for Hong Kong are going well . "
anger,"Clive Greenacre was not only put out when his agoraphobic wife started to express her anger about his callous behaviour , but also amazed by the sexual demands she then started to make on him . "
anger,This act of selfless good nature earned her a fine of one hundred francs and caused a riot in the Latin Quarter when enraged fans besieged the Prefecture of Police .
surprise,"Lomponda wa Botende , a former Chief of Staff , expressed his astonishment at the report , and the Defence Ministry denied that any coup attempt had been made . "
happy,"The Gorengs made their home in the former diplomatic quarter , the area which had , to the glee of the Chinese in the Toku-ru warehouse , been accidentally shelled by the malai navy on invasion day . "
sad,"As Michael Codron told me : ` Ken remained very loyal to it , even though he was miserable about it . "
anger,Court sounded almost indignant .
disgust,"The horse , having been abandoned in the traces for twenty-four hours , was utterly disgruntled . "
fear,I seem to be more nervous in that way than I once was .
happy,"` They are naturally excited about getting the championship back after 33 years , "" he said . "
sad,"Creggan had never in his short life felt so desolate , and try as he did he could not rest and fall asleep . "
sad,"If she had been paying more attention to his face she might have believed that his deeply shocked , anguished expression was not an act , put on for her benefit . "
anger,His parents were furious over the engagement business .
sad,Now Endill felt really depressed .
sad,"I felt pierced to the heart , dejected and lonely . "
happy,"` I 'm delighted they left you the house , "" Julia told Margaret . "
fear,Melanie was shocked to see the horror on her aunt 's face .
fear,So we moved to Haddenham for peace and quiet but now it starts here and we 're very frightened we shall be driven away from here because you ca n't live with that noise .
happy,""" Debbie would be pleased , "" she said . "
happy,So the chief librarian was surprised and not particularly overjoyed to be dragged down from his rooftop sun terrace by Harry 's telephone call .
shame,I 'm embarrassed for Blade .
disgust,We are getting a bit fed-up of people saying how badly opponents play against us .
happy,Minute shards of glass slashed across Rohmer 's ecstatic face .
shame,"As a friend of Linde 's , I was rather embarrassed , however , when I was later sent his paper by a scientific journal and asked whether it was suitable for publication . "
sad,I join the hon. Gentleman in expressing our sorrow at that tragic loss .
disgust,"However , I quite enjoyed describing the horrors of my creation , and shared with Edward Young , the architect , his revulsion for the hideous house , covered in peeling stucco , as chilling within as without . "
happy,"Blake says how pleased he is with the firm 's improved performance , acknowledging the considerable efforts and progress it has made . "
sad,He collapsed in a coma at a London club and died hours later in hospital from massive internal bleeding  in front of his devastated mum and dad .
fear,I became concerned when I saw my husband becoming a different person .
anger,I felt a stifled anger against her .
anger,Philip was mad at himself for not taking the cutters off the boy .
sad,"It is also likely that by providing minimum standards of living , social services reduce public apathy and dejection and thus maintain the will to work . "
surprise,"Downstairs in the lobbies , Tories were running around in equal bewilderment over the Speakership . "
surprise,"The man stared at her in stunned silence , his chest rising and falling with some kind of agitation . "
sad,The sun was shining the next morning but the brightness of the day did nothing to dispel Eline 's feelings of dejection .
shame,"Doubtless in later years she would be glad of that , but for now she was too embarrassed to care . "
shame,She was really embarrassed .
sad,Records must not be based on the measurement of subjective impressions such as the number of times parents felt depressed about their child 's behaviour .
sad,Sheila Williams was feeling miserable .
sad,"Yet the sorrow of Leibnitz , were he to have needlessly destroyed it , is described as ` a natural feeling for a humane man "" . "
sad,She regarded the wife of former Beirut hostage Jackie Mann as a ` dear friend' and was heartbroken she could not see her before she died of lung cancer on November 30 .
anger,"` Jane , my darling , it 's not because she 's mad that I hate her . "
anger,"Shaw , however , worked off most of his exasperation over the weekend winning the Durham and Cleveland County veterans ' over 50 title . "
sad,"She was deeply depressed , and felt guilty about her depression . "
fear,It was as if Gillray 's avaricious monarch was more of an affront than the voluptuary suffering from the horrors of dissipation .
anger,"` I still feel quite peeved about it ; well , more than that really . "" "
fear,Two fierce eyes glared at the terror-stricken sailors .
disgust,"If you do feel revolted when you watch the patient eat , you should not feel guilty about it , but neither should you let yourself become irritable with the patient over it . "
sad,"Sandra Cooper , 33 , midwife and founder of the Darlington Miscarriage Association , said :  Women who have had a miscarriage experience grief but they have no record of their unborn child . "
shame,"You become embarrassed when people compliment you : ` Oh it was nothing really "" . "
fear,"A few months later Gough Whitlam brought the Australian Army home but it is said that for those who experienced the horrors , each one left a little piece of themselves out in Viet . "
happy,She was shortish and had an attractive way of cocking her head on one side and looking up with big dark eyes and a wryly amused smile .
happy,"Her cheeks were already aglow from a combination of the heat and the exhilaration of being the centre of attention , and this had lent an extra , youthful radiance to her beauty . "
happy,"Cranston repeated , fighting hard to control the excitement in his voice . "
anger,Some members of the UN Security Council will be miffed .
sad,No wonder she was now inconsolable at the prospect of the child being returned to London .
anger,"When he took his hand away still saying nothing , she felt slightly hurt and resentful . "
disgust,"` Everybody in this town , including the stuffed seagull shop , seems to reckon they can sell books , "" said a disgruntled Mr Coward . "
happy,But now she looked excited .
sad,"As I read it , I was sad to think how miserable Anne had been , in a big house away from home , where no one understood her . "
surprise,"She just looked up at him with bewildered eyes and he put her firmly away , turning to launch himself into the water . "
surprise,"I am stunned to find him so fine and ruddy in the startling , bleak white of this room ; so handsome in the face of my decay , my washed-out skin and faded eyes , my smears of blood and perspiration . "
fear,Charlotte looked at Ursula and saw a frozen expression of horror on her face .
happy,The King was bluntly informing him that he was ill pleased at the lack of progress Corbett was making .
sad,"Yet the dog had grown old and less capable , and one day the gillie had come and explained with great sorrow that the dog had suffered a stroke , and must be put down . "
fear,"Rose was excessively clinging in her behaviour and anxious when Clive was either late , as he often was , or away on an extended business trip . "
surprise,"To her own mild astonishment she murmured , ` I 'll try . "" "
surprise,As he looked around he could not hide his astonishment .
disgust,"A reader , disgruntled in large proportion , sat down to work out how much of his salary he would have to hand over to the Inland Revenue heavy mob for the past year . "
shame,"He grinned unrepentantly , watching her deep blush of embarrassment with apparent fascination . "
surprise,"She frowned , feeling slightly bewildered . "
anger,"` I think your friend Billy and his fellow commandos were a bit peeved to find themselves here after the horse had bolted , so to speak . "" "
shame,"This room needs a change of air , "" she muttered , ashamed that he 'd goaded her into being catty . "
surprise,"Benny looked around him , a bewildered expression on his face . "
surprise,I pointed out that I kissed Frankie but she dismissed my puzzlement .
sad,"Yeah , but she 's a bit despondent now is n't she , really ? "
disgust,"This ` instinctive revulsion from regulation "" is the foundation of his libertarian heritage and it gives rise to a particular vision of how broadcasting should develop and what its purposes should be . "
disgust,"Then there was the American sprinter Jesse Owens , who swept to victory in the Berlin Olympic Games of 1936 , much to the disgruntlement of Hitler . "
disgust,"I know they are working on a building site but we are just fed-up with this disruption . "" "
happy,"However , in 1878 , deaf education in Greenock faced a crisis because there was no-one able to continue to teach the children , and one parent was not happy about his child being taught in sign language . "
sad,"Now her vivid imagination had no difficulty in showing her how Mark 's last drive alone must have been , how miserable he must have felt . "
sad,And even those could be put down to excessive grief at the loss of his wife .
fear,The president was more concerned about the loss of jobs .
happy,She was tingling with excitement .
sad,"Even so , I was miserable when we were second from last .  "
surprise,He could see Harry 's puzzlement .
sad,"The awakened will gives rise to fear of God , sorrow for sin , hope for forgiveness and love of God ( Leah 's first four children ) . "
fear,A CITY 'S terror-stricken minicab drivers are threatening to quit their jobs in fear after the murder of a young cabbie .
fear,"Trance-like he drove down the Edgware Road , responding to the multitudinous traffic lights with mechanical movements , while the agitated Eleanor continued to lash his unreceptive ear with a never-ending stream of abuse . "
anger,Mansell was livid and admitted he ran away from the scene of the accident to avoid being tempted into big trouble .
sad,"Yet she suffered his grief with him , wanting to share his sorrow , hoping that she could alleviate some of his pain . "
happy,"For the watching world , she smiled and laughed , seeming perfectly delighted with her husband and newfound status . "
